## population PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	NumLoc	srumapop	srvalpop	wfyankee	mainefsr	srefspop	srpahpop	srlempop	srnfspop
OtsSALM18C_1201	170	0.05385907	0.00565140	0.69043681	0.24941182	0.00059520	0.00000315	0.00000029	0.00004225
OtsSALM18C_1202	170	0.03751230	0.00913842	0.00000922	0.08285645	0.00858772	0.86149592	0.00039953	0.00000044
OtsSALM18C_1203	170	0.00006925	0.00106637	0.00054313	0.00002500	0.00039440	0.99790161	0.00000006	0.00000018
OtsSALM18C_1204	167	0.13953565	0.00207120	0.00000022	0.01009004	0.83777327	0.00356134	0.00690028	0.00006801
OtsSALM18C_1205	170	0.58176071	0.14979418	0.00623285	0.17258103	0.07533562	0.00752061	0.00214368	0.00463132
OtsSALM18C_1206	170	0.02993434	0.00666432	0.00001760	0.13707306	0.00105323	0.00326523	0.70089255	0.12109967
OtsSALM18C_1207	169	0.00143913	0.00003100	0.00000007	0.00000280	0.00000672	0.99851458	0.00000570	0.00000000
OtsSALM18C_1208	168	0.00033989	0.00018868	0.00000000	0.00024564	0.00124192	0.99797295	0.00001086	0.00000006
OtsSALM18C_1209	170	0.14179337	0.14981138	0.00000840	0.03885924	0.21293994	0.45641166	0.00017600	0.00000001
OtsSALM18C_1210	168	0.00000757	0.00008548	0.00000000	0.00015186	0.00013351	0.99962155	0.00000003	0.00000000
OtsSALM18C_1211	169	0.30370840	0.23323336	0.00007513	0.40212604	0.05364500	0.00040369	0.00081840	0.00598998
OtsSALM18C_1212	169	0.43567890	0.03218696	0.00000253	0.07382098	0.29913870	0.15910781	0.00000408	0.00006005
OtsSALM18C_1213	168	0.30888088	0.07709952	0.00000018	0.14517799	0.02064745	0.14182940	0.00100523	0.30535935
OtsSALM18C_1214	170	0.19921913	0.07841012	0.00040698	0.00175607	0.71469746	0.00481523	0.00065658	0.00003842
OtsSALM18C_1215	168	0.00209853	0.00005684	0.00000000	0.00005483	0.01843824	0.97914887	0.00002821	0.00017448
OtsSALM18C_1216	169	0.00722682	0.00360037	0.00000000	0.00066058	0.01854356	0.65227690	0.31742569	0.00026607
OtsSALM18C_1217	169	0.07195308	0.00336715	0.00006083	0.29948820	0.57385231	0.05121521	0.00000000	0.00006322
OtsSALM18C_1218	170	0.22230763	0.10702584	0.00000915	0.00345415	0.65737305	0.00949995	0.00005392	0.00027631
OtsSALM18C_1219	170	0.00523205	0.00405960	0.00000056	0.03597627	0.67545829	0.27849141	0.00069934	0.00008248
OtsSALM18C_1220	170	0.00004251	0.00005223	0.00000000	0.00020677	0.00228234	0.99740430	0.00000001	0.00001183
OtsSALM18C_1221	170	0.39531368	0.04863824	0.00000193	0.01046052	0.07119686	0.43281149	0.02058573	0.02099155
OtsSALM18C_1222	170	0.98792344	0.00299775	0.00000253	0.00033891	0.00355523	0.00518203	0.00000001	0.00000010
OtsSALM18C_1401	170	0.19066128	0.01425047	0.00002241	0.14234386	0.65233540	0.00023113	0.00014494	0.00001051
OtsSALM18C_1402	170	0.01121388	0.20757361	0.00002643	0.00010874	0.00227501	0.77871853	0.00000330	0.00008048
OtsSALM18C_1403	169	0.00619087	0.00053762	0.00000095	0.98791696	0.00115679	0.00419637	0.00000004	0.00000040
OtsSALM18C_1404	169	0.48685839	0.14294740	0.01825629	0.00319420	0.30494767	0.00291917	0.03439909	0.00647779
OtsSALM18C_1406	170	0.12655018	0.00439128	0.00000293	0.14644543	0.72258664	0.00002352	0.00000001	0.00000001
OtsSALM18C_1407	168	0.04381105	0.00220691	0.00000000	0.00532610	0.01301704	0.91696457	0.01855227	0.00012207
OtsSALM18C_1408	170	0.25949124	0.16269409	0.00000060	0.00979053	0.55736047	0.00995014	0.00000752	0.00070541
OtsSALM18C_1409	169	0.02214519	0.00035543	0.00000263	0.00891115	0.96719768	0.00077604	0.00061021	0.00000166
OtsSALM18C_1410	170	0.00581686	0.00166282	0.00000049	0.01257700	0.05791878	0.60984793	0.00000449	0.31217163
OtsSALM18C_1411	168	0.00033394	0.00085040	0.00000229	0.00000898	0.03878106	0.95947202	0.00048842	0.00006290
OtsSALM18C_1412	167	0.01623685	0.01453277	0.00002382	0.01083907	0.18442207	0.02515528	0.74838521	0.00040493
OtsSALM18C_1413	170	0.00866663	0.02852633	0.00000467	0.00276287	0.04571296	0.91413097	0.00019440	0.00000117
OtsSALM18C_1414	168	0.97155352	0.00655089	0.00000796	0.00851196	0.01311068	0.00024377	0.00000237	0.00001885
OtsSALM18C_1415	168	0.01847970	0.22985079	0.00014637	0.02619559	0.72524612	0.00007779	0.00000098	0.00000266
OtsSALM18C_1416	165	0.01758921	0.00411219	0.00000148	0.00081590	0.01409339	0.96309433	0.00028925	0.00000425
OtsSALM18C_1417	170	0.07993302	0.00023410	0.00000560	0.05978552	0.35283496	0.50720614	0.00000057	0.00000010
OtsSALM18C_1418	170	0.00785614	0.00129602	0.00000239	0.03357249	0.00180265	0.95122525	0.00424503	0.00000003
OtsSALM18C_1419	169	0.00311340	0.20538473	0.00000000	0.79005199	0.00113640	0.00029181	0.00002052	0.00000114
OtsSALM18C_1420	169	0.69739195	0.07959522	0.00000029	0.14690834	0.05890780	0.01718361	0.00001103	0.00000176
OtsSALM18C_1421	169	0.27395938	0.00010870	0.00014649	0.03724591	0.57767838	0.00828761	0.00003509	0.10253843
OtsSALM18C_1422	166	0.00051555	0.00113226	0.00000005	0.00344258	0.00047453	0.99416509	0.00002726	0.00024268
OtsSALM18C_1423	168	0.00100497	0.28001065	0.00001497	0.00166095	0.71397614	0.00332968	0.00000262	0.00000002
OtsSALM18C_1424	170	0.78517647	0.03683899	0.01557079	0.12392999	0.03585961	0.00261878	0.00000279	0.00000257
OtsSALM18C_1425	168	0.00001427	0.00263400	0.00000002	0.00271741	0.00137978	0.99213780	0.00104059	0.00007613
OtsSALM18C_1426	170	0.33185403	0.02831578	0.01022434	0.11758095	0.50892772	0.00054109	0.00250938	0.00004671
OtsSALM18C_1427	169	0.05255928	0.16582215	0.00000172	0.00062011	0.39090579	0.00220439	0.33988584	0.04800072
OtsSALM18C_1428	170	0.03999352	0.14028851	0.00002218	0.05614050	0.40616410	0.13788771	0.21946673	0.00003675
OtsSALM18C_1429	166	0.06092808	0.07233810	0.00000199	0.20219714	0.43112222	0.18080301	0.05260564	0.00000382
OtsSALM18C_1430	169	0.00075315	0.00061935	0.00000001	0.00601693	0.02226916	0.97015826	0.00012370	0.00005944
OtsSALM18C_1431	169	0.01393211	0.00274839	0.00001844	0.00838067	0.03127768	0.94364261	0.00000008	0.00000003
OtsSALM18C_1432	170	0.01294063	0.01978288	0.00000099	0.00042870	0.94889297	0.01610104	0.00185277	0.00000003
OtsSALM18C_1433	169	0.03703782	0.00481878	0.00000083	0.00293669	0.89621033	0.00454667	0.05444454	0.00000433
OtsSALM18C_1434	169	0.00041832	0.00117759	0.00000225	0.00241450	0.00462065	0.99136366	0.00000285	0.00000018
OtsSALM18C_1435	170	0.00077187	0.00045715	0.00000000	0.00016594	0.19249243	0.80581427	0.00029820	0.00000014
OtsSALM18C_1436	169	0.22964207	0.03656488	0.00206664	0.01466484	0.20728516	0.00227705	0.50544044	0.00205891
OtsSALM18C_1437	169	0.05970524	0.00350318	0.00005500	0.00503314	0.01937482	0.91229615	0.00003232	0.00000015
OtsSALM18C_1438	170	0.23133312	0.00176626	0.00364138	0.01012658	0.75217451	0.00052168	0.00037057	0.00006590
OtsSALM18C_1439	169	0.13378504	0.33591847	0.00035169	0.04999750	0.44081391	0.02063499	0.00576156	0.01273683
OtsSALM18C_1440	168	0.00755408	0.00160885	0.00000000	0.00295683	0.01378983	0.97188292	0.00015883	0.00204866
OtsSALM18C_1441	170	0.63478838	0.03309318	0.00001458	0.00775224	0.32221348	0.00177719	0.00007160	0.00028934
OtsSALM18C_1442	168	0.63686761	0.04994851	0.00029222	0.00585866	0.26972472	0.03706544	0.00008213	0.00016073
OtsSALM18C_1443	170	0.02702070	0.11776426	0.00000661	0.15492016	0.61724941	0.08302431	0.00001442	0.00000012
OtsSALM18C_1444	170	0.35028160	0.22539683	0.00000003	0.01683711	0.38095609	0.02641933	0.00010864	0.00000037
OtsSALM18C_1445	170	0.54199490	0.22000848	0.00029983	0.01971194	0.07264709	0.13308316	0.00014840	0.01210620
OtsSALM18C_1446	168	0.24214318	0.02294741	0.00087315	0.02478192	0.24831971	0.45669188	0.00400131	0.00024144
