"Tag Code","Mark Rear Type Name","Event Type Name","Event Site Code Value","Event Date Time Value","Event Release Date Time Value","Antenna ID","Antenna Group Configuration Value","CTH Count"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:39 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:58 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:59 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:00 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:01 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:02 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:03 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:04 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:06 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:11 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:12 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:13 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:14 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:22 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:23 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:24 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:27 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:28 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:30 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:34 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:35 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:40 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:51 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:39:53 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:40:01 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:40:02 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:40:03 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:40:04 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:40:08 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:40:10 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:40:17 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:40:18 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:40:19 AM","","03","120","1"
